FileName;Duration;Format;Channels;Library;Description;Originator;Note;Category;Reference
ALRMBuzr_Buzzer 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 002_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 003_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 004_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 005_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 006_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 007_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 008_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 009_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 010_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 011_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 012_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 013_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 014_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 015_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 016_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 017_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 018_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 019_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 020_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 021_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 022_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 023_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 024_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
ALRMBuzr_Buzzer 025_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Buzzer, alarm buzzer;Vladislav Zharkov;;ALARMS / BUZZER;vladislavzh.net
AMBDsgn_Ground Floor_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Rumbling ambience of an underground facility, looping;Vladislav Zharkov;;AMBIENCE / DESIGNED;vladislavzh.net
AMBDsgn_Old Noisy Arcade_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Lasers, explosions, various beeps and noises of an old arcade, looping;Vladislav Zharkov;;AMBIENCE / DESIGNED;vladislavzh.net
AMBFant_Anomaly_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Eerie ambience, indistinct ghostly voices, looping;Vladislav Zharkov;;AMBIENCE / FANTASY;vladislavzh.net
AMBFant_Unknown Location_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Eerie ambience, reverberant noises resembling dripping water or indistinct voices, looping;Vladislav Zharkov;;AMBIENCE / FANTASY;vladislavzh.net
AMBSci_Underpass Devices_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Distant beeps, glitches and hisses coming from an underpass, echoing, looping;Vladislav Zharkov;;AMBIENCE / SCIFI;vladislavzh.net
AMBTech_Computer Room_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Various screeches, beeps and bursts of static, reverberant, looping;Vladislav Zharkov;;AMBIENCE / HITECH;vladislavzh.net
CMPTDriv_Data Cruncher_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Hi-tech device making crunchy, screechy noises, reading data with occasional glitchy beeps, looping;Vladislav Zharkov;;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Decryption Server_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Hi-tech device making screechy computational noises, reading data, decrypting, looping;Vladislav Zharkov;;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Hard Drive Goes EEEEEE_VZ_GN.wav;0:20;48 24;2;Glitch Noises/Misc Noises;Screeching hard drive noise, data reading, looping;Vladislav Zharkov;This sound is completely digital. It's not an actual hard drive.;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Hard Drive Goes RREEEE_VZ_GN.wav;0:20;48 24;2;Glitch Noises/Misc Noises;Screeching hard drive noise, data reading, looping;Vladislav Zharkov;This sound is completely digital. It's not an actual hard drive.;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Jammer_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Jamming device emitting various screechy noises, beeps and signals, looping;Vladislav Zharkov;;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Receiver_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Data receiving device emitting various squeaky noises, beeps, looping;Vladislav Zharkov;;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTDriv_Scrambler_VZ_GN.wav;0:30;48 24;2;Glitch Noises/xBonus;Data scrambler emitting various repeating noises, glitches, beeps, looping;Vladislav Zharkov;;COMPUTERS / HARD DRIVE;vladislavzh.net
CMPTMisc_Digital Fog Horn 001_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Digital Fog Horn 002_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Digital Fog Horn 003_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Digital Fog Horn 004_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Digital Fog Horn 005_VZ_GN.wav;0:02;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Digital Fog Horn Loop_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Misc Noises;Digital noise reminiscent of a fog horn, looping;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Laz0rs_VZ_GN.wav;0:13;48 24;2;Glitch Noises/Misc Noises;Tonal data readings resembling classic lasers sounds, occasional descending tones and bursts of white noise, looping;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Machine Dreaming_VZ_GN.wav;0:33;48 24;2;Glitch Noises/Misc Noises;Gentle interference with periodic signals, occasional digital purrs and glitches, looping;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Melodic Data_VZ_GN.wav;0:09;48 24;2;Glitch Noises/Misc Noises;Melodic data readings, repeating ascending tones, looping;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_Quad Damage_VZ_GN.wav;0:01;48 24;2;Glitch Noises/Misc Noises;Harsh digital noise, tonal;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
CMPTMisc_The Digital Hypnotoad_VZ_GN.wav;0:13;48 24;2;Glitch Noises/Misc Noises;Harsh digital noise, tonal;Vladislav Zharkov;;COMPUTERS / MISC;vladislavzh.net
COMStatic_Interference 001_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 002_VZ_GN.wav;0:20;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 003_VZ_GN.wav;0:14;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 004_VZ_GN.wav;0:13;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 005_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 006_VZ_GN.wav;0:20;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 007_VZ_GN.wav;0:16;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 008_VZ_GN.wav;0:20;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 009_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 010_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 011_VZ_GN.wav;0:10;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 012_VZ_GN.wav;0:15;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 013_VZ_GN.wav;0:07;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 014_VZ_GN.wav;0:06;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference 015_VZ_GN.wav;0:08;48 24;2;Glitch Noises/Intercom;Glitchy white noise, static, interference, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
COMStatic_Interference Tone 001_VZ_GN.wav;0:07;48 24;2;Glitch Noises/Intercom;Glitchy white noise, screeching static, interference, tonal, looping;Vladislav Zharkov;;COMMUNICATIONS / STATIC;vladislavzh.net
